review,sentiment,Polaridad_Clustering,Topic_ID,Palabras_Clave,location,gender,date
add more telugu music,positivo,positivo,5,"voice, lyrics, commands, device, android, services, users, bugs, complaints, trial","Jacksonville, United States",male,2017-05-13
Clean,positivo,positivo,1,"interface, clean, samsung, atmos, dolby, mixes, user, problem, money, offline","Tunis, Tunisia",male,2016-06-21
Customer,positivo,positivo,2,"android, devices, platform, syncs, support, clear, feature, sweet, affordable, access","Windhoek, Namibia",male,2016-07-30
Kaşmeri oldum fakat fazla bug var fixlenmesi gerek,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Denver, United States",male,2017-08-13
Being able to play 24 bit lossless audio and dolby atmos music on my s22 ultra and Galaxy buds 2 pro is amazing!,positivo,positivo,1,"interface, clean, samsung, atmos, dolby, mixes, user, problem, money, offline","Paris, France",male,2015-07-06
I like it,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Houston, United States",female,2017-10-28
Dope 💯💯,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Port Moresby, Papua New Guinea",female,2018-08-02
Very accurate and very useful,positivo,positivo,4,"player, download, hires, selection, useful, reliable, india, rate, interesting, fine","Adelaide, Australia",female,2018-06-07
New Version Update,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Shenzhen, China",male,2016-02-09
the best music app and has all the songs I need,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Perth, Australia",female,2018-05-01
honestly runs beautifully,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Port Moresby, Papua New Guinea",female,2018-07-14
"The only reason why I had initially signed up for Apple Music was because Verizon was willing to include it in my plan for free. I'll admit I was curious about it but wasn't planning on using it as my main music provider. For 7 years, Spotify was my go-to & yes, I had Spotify Premium. The more I used Apple Music, the more I realized how much I liked it. It's so much more organized than other apps I've tried. The Playlists, the suggestions, the transitions, the quality of the sounds 🔥🔥",positivo,positivo,4,"player, download, hires, selection, useful, reliable, india, rate, interesting, fine","Rio de Janeiro, Brazil",female,2018-01-12
best music app,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Buenos Aires, Argentina",female,2017-11-26
Good for Samsung and iPhone,positivo,positivo,1,"interface, clean, samsung, atmos, dolby, mixes, user, problem, money, offline","Hong Kong, China",male,2015-12-01
Exceptional...,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Chicago, United States",male,2017-09-12
apple music done on Sonias hour,positivo,positivo,6,"time, service, phone, search, specific, android, family, recommendations, algorithm, convenient","Addis Ababa, Ethiopia",male,2016-06-26
"Apple Music is my favortie music app. In my opinion, Spotify is worse because you have to pay to go ad free, apple music is free.",positivo,positivo,4,"player, download, hires, selection, useful, reliable, india, rate, interesting, fine","Edinburgh, United Kingdom",male,2015-11-02
"Best Lossless Music Experience on Android! Using Apple Music on Android might seem odd, but it’s hands down the best way to enjoy true lossless audio—especially if you have good IEMs or audio gear",positivo,positivo,1,"interface, clean, samsung, atmos, dolby, mixes, user, problem, money, offline","Cancun, Mexico",male,2017-08-23
"very awesome , trimendous",positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Phoenix, United States",male,2016-09-25
The best music app in my opinion,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Nadi, Fiji",female,2018-08-04
I don't know why is 4.1 star only it should be 5 the best music app so far audiophiles are blessed,positivo,positivo,5,"voice, lyrics, commands, device, android, services, users, bugs, complaints, trial","Ottawa, Canada",male,2016-11-08
"Music 🎶 oh wow that's awesome my like gets me so remorseful calm, cool & collected moreso my hobby under my skin really, makes me a happier man round & about the sherecal atmosphere am around!",positivo,positivo,3,"lossless, powerful, stable, regular, suggestions, personalized, choice, smooth, options, product","Seattle, United States",male,2016-12-06
some cover art not showing in 3D now playing screen in some playlists.,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","San Diego, United States",male,2017-05-16
Joy,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Vancouver, Canada",male,2017-02-15
❤️❤️👍👍,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Phoenix, United States",male,2017-08-17
Good,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Sydney, Australia",female,2018-07-22
No dark mode :(,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Houston, United States",female,2017-10-14
excellent music quality 😄,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Phoenix, United States",male,2017-05-24
Nice,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Calgary, Canada",male,2017-05-02
I LOVE APPLE MUSIC.,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Birmingham, United Kingdom",male,2015-07-04
"Ui is amazing. It still needs improvement though especially with the animated now playing screen, at the bottom corners. Sound quality and features are top-notch.",positivo,positivo,5,"voice, lyrics, commands, device, android, services, users, bugs, complaints, trial","Brussels, Belgium",male,2015-07-31
"How is this app so much better than Spotify? It launches quicker, never crashes, all iphone features are present, and doesn't drain my battery as much. Good job Apple, even though this is an android app!",positivo,positivo,1,"interface, clean, samsung, atmos, dolby, mixes, user, problem, money, offline","Krakow, Poland",male,2015-11-13
Works great 👍🏻,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Washington DC, United States",male,2017-04-18
"There is a bug which appears after playing songs for 5 mins. It's a black bar appearing over the now playing bar. This appears after 5 mins and after closing the app, it goes away but then it appears again. Please fix this. Also I've noticed that in the stable version, playing similar songs after a song doesn't work. Please fix these issues because I love apple music because of lossless and I want to continue using it. But these bugs give me second thoughts.",positivo,positivo,3,"lossless, powerful, stable, regular, suggestions, personalized, choice, smooth, options, product","Nadi, Fiji",female,2018-07-25
Good♋♋♋♋♋♋,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Cape Town, South Africa",male,2016-05-11
This is good app. i love it,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Arequipa, Peru",female,2017-11-07
best high quality music,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Johannesburg, South Africa",male,2016-09-04
The best,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Queenstown, New Zealand",female,2018-07-21
Good 9,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Shenzhen, China",male,2016-01-08
Works just like on iPhone with casting abilities. Dolby atmos is available too and works great.,positivo,positivo,1,"interface, clean, samsung, atmos, dolby, mixes, user, problem, money, offline","Mexico City, Mexico",male,2016-10-27
best of best music streaming app ever. the spatial audio will make you a more expensive vibe.,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","New York, United States",male,2016-11-23
👀👊,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Chicago, United States",male,2017-02-04
Nice one,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Hamburg, Germany",male,2015-11-04
Good,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Chicago, United States",female,2017-10-06
I am so impressed with the Apple Music app for Android. This app is nearly identical to the app for iOS and it's nothing short of excellent! I love it!,positivo,positivo,5,"voice, lyrics, commands, device, android, services, users, bugs, complaints, trial","Bangkok, Thailand",male,2016-04-06
clean experience,positivo,positivo,1,"interface, clean, samsung, atmos, dolby, mixes, user, problem, money, offline","Rosario, Argentina",female,2018-01-07
🔥💥💔👋🖐️🥰,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Dakar, Senegal",male,2016-09-08
Your agent did a mistake on my account,positivo,positivo,6,"time, service, phone, search, specific, android, family, recommendations, algorithm, convenient","Oslo, Norway",male,2015-10-20
I cant play my downloaded music after the recent update.,positivo,positivo,4,"player, download, hires, selection, useful, reliable, india, rate, interesting, fine","Medellín, Colombia",female,2018-01-14
Hi res lossless is awesome u will find many details which would be missing in any other platform.. done with perfection for audiophiles,positivo,positivo,2,"android, devices, platform, syncs, support, clear, feature, sweet, affordable, access","Lahore, Pakistan",male,2016-02-22
Love the way you can track your songs.,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Seville, Spain",male,2015-07-30
Mamimaran,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Hanoi, Vietnam",male,2016-04-01
Nothing beats the smart playlists. Apple music is the only streaming service that has them,positivo,positivo,6,"time, service, phone, search, specific, android, family, recommendations, algorithm, convenient","Harare, Zimbabwe",male,2016-08-05
Can You Add A Click Wheel To The App?,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Berlin, Germany",male,2015-09-11
amazing app,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Helsinki, Finland",male,2015-07-02
Lusuu ku in this app and bad experiences so guys don😄 do not installed this app your optional to install the spotify and many apps,positivo,positivo,6,"time, service, phone, search, specific, android, family, recommendations, algorithm, convenient","Kumasi, Ghana",male,2016-06-06
Very good with some exceptions,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Helsinki, Finland",male,2015-08-25
small doctor,positivo,positivo,6,"time, service, phone, search, specific, android, family, recommendations, algorithm, convenient","Hanoi, Vietnam",male,2016-02-25
No words,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","San Francisco, United States",male,2017-03-08
Good,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Perth, Australia",female,2018-04-12
Very good,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Doha, Qatar",male,2016-02-24
Good,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Helsinki, Finland",male,2015-10-02
"Been a subscriber to Apple Music for years. Seriously wish there was a download all button when switching to a new device but other than that, zero complaints from me.",positivo,positivo,5,"voice, lyrics, commands, device, android, services, users, bugs, complaints, trial","Toronto, Canada",male,2017-01-14
very detail and clear sound! love it.,positivo,positivo,6,"time, service, phone, search, specific, android, family, recommendations, algorithm, convenient","Quebec City, Canada",male,2017-07-24
Awesome,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Tijuana, Mexico",male,2016-12-25
Google music has one major peoblem. I format phone often and the google music app said Limit Reached 5 devices. So now i had to call google to clear old devices EVERY TIME. Where as with Apple music i can do it on a laptop by myself. So much hassle free. This is why i switched to Apple music subscription from google music. I even gave suggestions to google and yet the same.,positivo,positivo,6,"time, service, phone, search, specific, android, family, recommendations, algorithm, convenient","Córdoba, Argentina",female,2017-11-10
I so much love this applications,positivo,positivo,1,"interface, clean, samsung, atmos, dolby, mixes, user, problem, money, offline","Abu Dhabi, United Arab Emirates",male,2016-02-18
♡♡♡,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Gold Coast, Australia",female,2018-04-15
Good 💯,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Los Angeles, United States",male,2017-07-18
Kanye dropped on it😁😁,positivo,positivo,6,"time, service, phone, search, specific, android, family, recommendations, algorithm, convenient","Jeddah, Saudi Arabia",male,2016-02-03
Super extreme,positivo,positivo,6,"time, service, phone, search, specific, android, family, recommendations, algorithm, convenient","Jakarta, Indonesia",male,2016-03-28
Very great good,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Osaka, Japan",male,2016-04-11
Goo Good and hv more song but slow,positivo,positivo,2,"android, devices, platform, syncs, support, clear, feature, sweet, affordable, access","Guayaquil, Ecuador",female,2017-11-16
Shazam friend,positivo,positivo,5,"voice, lyrics, commands, device, android, services, users, bugs, complaints, trial","Durban, South Africa",male,2016-06-14
Supargggggggyyu,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Gold Coast, Australia",female,2018-04-01
Excellent 👍,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Wellington, New Zealand",female,2018-04-12
Easy no drama,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Lusaka, Zambia",male,2016-05-13
It's a decent app that doesn't crash often. However it WILL randomly stop playing music unfortunately.,positivo,positivo,6,"time, service, phone, search, specific, android, family, recommendations, algorithm, convenient","San Francisco, United States",male,2017-05-30
Best sound quality and vast music library,positivo,positivo,4,"player, download, hires, selection, useful, reliable, india, rate, interesting, fine","Quito, Ecuador",female,2018-01-19
Favorite music app and hands down all the way We'll always choose Apple music over everything,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Barcelona, Spain",male,2015-09-13
Omg i like this app,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Lisbon, Portugal",male,2015-09-16
Better than Spotify. Yes it doesn't have some features as Spotify but this is cheaper and more normal.,positivo,positivo,5,"voice, lyrics, commands, device, android, services, users, bugs, complaints, trial","Los Angeles, United States",male,2016-10-16
Great app. Volume levels are fantastic. Need little improvement.,positivo,positivo,5,"voice, lyrics, commands, device, android, services, users, bugs, complaints, trial","Lisbon, Portugal",male,2015-10-12
😍🇬🇷,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Dallas, United States",male,2017-03-02
Thank god it finally exists on android. Now I can use the family plan my parents have once again. I don't like apple devices but their music and video services are great.,positivo,positivo,6,"time, service, phone, search, specific, android, family, recommendations, algorithm, convenient","Melbourne, Australia",female,2018-07-17
thanks up it's very fast,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Gold Coast, Australia",female,2018-04-19
"I prefer Apple music over Spotify cause it's more organize and the sound quality is great. You can download albums in one go, create/organize playlist easily, CLEAN UI. But i hope they'd include podcasts just like spotify's. I've been using iTunes since 2010 and this feels like it but for streaming. But recently AM force closes, can be improve.",positivo,positivo,1,"interface, clean, samsung, atmos, dolby, mixes, user, problem, money, offline","Jacksonville, United States",male,2016-12-18
I wish that apple make an launcher for Android to complete change the ui to ios !!!!! That would be fabulous!!!!!,positivo,positivo,2,"android, devices, platform, syncs, support, clear, feature, sweet, affordable, access","Mombasa, Kenya",male,2016-07-02
Super,positivo,positivo,0,"audio, curated, lossless, enjoyable, update, option, price, issue, problems, platforms","Sydney, Australia",female,2018-05-01
Best Music streaming app for Android I love it every thing about Apple is just awesome. Having the best experience 💯💯,positivo,positivo,2,"android, devices, platform, syncs, support, clear, feature, sweet, affordable, access","Jacksonville, United States",male,2016-12-08
Woow amazing,positivo,positivo,6,"time, service, phone, search, specific, android, family, recommendations, algorithm, convenient","Lisbon, Portugal",male,2015-07-16
