review,sentiment,Polaridad_Clustering,Topic_ID,Palabras_Clave,location,gender,date
Spatial audio doesn't work with pixel 7 and pixel buds pro,negativo,negativo,5,"payment, method, keeps, unable, option, difficult, android, page, didnt, none","Seoul, South Korea",male,2023-06-01
"Ever since an update recently, songs will skip and not play. Itcan skip up to 3 songs at a time and then decide to play a song. It's quite annoying. Does anyone know how to fix it?",negativo,negativo,1,"android, account, update, device, search, sign, fine, login, results, inconsistent","Guadalajara, Mexico",male,2024-04-22
On chromebook the app keeps kicking me out and I have to call support to reconnect as there is no place to sign in once kicked out. very frustrating,negativo,negativo,5,"payment, method, keeps, unable, option, difficult, android, page, didnt, none","New York, United States",male,2025-02-17
I am attempting to cancel my subscription and it sends me to an empty page claiming I have no subscription while still being charged.,negativo,negativo,1,"android, account, update, device, search, sign, fine, login, results, inconsistent","Phoenix, United States",male,2024-03-03
"I dont appreciate being told and forced to download an app just to manage my subscriptions... to stop you from taking money out of my bank sccount... then find out that Apple told you the wrong info and you manage subscriptions elsewhere... Youve designed it so people HAVE to download this app, making your total downloads looking far superior to what they actually should be. Disgusting company.",negativo,negativo,3,"devices, interface, features, buggy, strong, card, couldnt, android, total, problem","Cancun, Mexico",male,2024-05-17
"the music skips, stalls, and straight up stops playing constantly. I'm about to delete the app and everything if it don't get fixed soon",negativo,negativo,4,"password, service, crashes, account, user, time, customer, problem, correct, shuffle","Dallas, United States",male,2024-05-19
app is very slow when u try to log in,negativo,negativo,2,"phone, download, monthly, bugs, button, slow, data, android, impossible, laggy","Canberra, Australia",female,2025-10-25
Frustrated that this app wants me to pay for use with the ITunes I already have. No... Not worth it to me.,negativo,negativo,0,"access, code, account, error, issue, lossless, ridiculous, disappointed, audio, email","Ottawa, Canada",male,2025-02-23
The app is really bad why do I have to pay to access my music that I have already paid for!,negativo,negativo,0,"access, code, account, error, issue, lossless, ridiculous, disappointed, audio, email","Seville, Spain",male,2023-03-11
The update has made Apple music useless. Can't play any music ever since the latest update,negativo,negativo,1,"android, account, update, device, search, sign, fine, login, results, inconsistent","Suva, Fiji",male,2025-08-30
Worthless $10.99 app. It makes you pay to download movies and music you already own and if your subyruns out you no longer have access to your OWNED personal content. You end up paying over and over each month to watch your movies while on the go.,negativo,negativo,3,"devices, interface, features, buggy, strong, card, couldnt, android, total, problem","Dubai, United Arab Emirates",male,2023-05-14
"Forced the ""Favorite"" playlist on my account and won't allow me to delete it, even though it is empty. It's an eyesore and I hate it. My amount of stars will change once this is rectified.",negativo,negativo,1,"android, account, update, device, search, sign, fine, login, results, inconsistent","Quebec City, Canada",male,2024-11-02
"My music keeps being removed from my phone, individual songs download multiple times over, often in the same album. The only good thing about this app is the fact that there are no ads, and it doesn't crash very often. Still quite frustrating to have new releases and not be able to play them without going into the artist page, then pressing and holding on the song and selecting play, even though you pressed ""download album"" about a thousand times. Please fix your app.",negativo,negativo,2,"phone, download, monthly, bugs, button, slow, data, android, impossible, laggy","Glasgow, United Kingdom",male,2023-03-20
Not relevant to me not sure why I even have it,negativo,negativo,0,"access, code, account, error, issue, lossless, ridiculous, disappointed, audio, email","Bangalore, India",male,2023-05-06
"Cringe company, cant make a simple music app which doesnt crash every 5mins",negativo,negativo,3,"devices, interface, features, buggy, strong, card, couldnt, android, total, problem","Santa Cruz, Bolivia",male,2025-03-28
"I opened the app and it told me to go to the web to subscribe, but the web version keeps directing me to the app",negativo,negativo,0,"access, code, account, error, issue, lossless, ridiculous, disappointed, audio, email","Accra, Ghana",male,2023-11-07
this app should be also for android users,negativo,negativo,5,"payment, method, keeps, unable, option, difficult, android, page, didnt, none","Rome, Italy",male,2023-03-14
"The latest update is so bad. The app will stop loading any content at random intervals throughout the day. When it happens, music buffers endlessly, search results get stuck loading. The only way to fix it is to force close the app and reopen. Not something you can do if you're driving. Music quality dropping randomly from lossless to nothing",negativo,negativo,0,"access, code, account, error, issue, lossless, ridiculous, disappointed, audio, email","Vancouver, Canada",male,2024-09-26
when I stopped subscription- I am unable to play/access the music that was brought,negativo,negativo,5,"payment, method, keeps, unable, option, difficult, android, page, didnt, none","Stockholm, Sweden",male,2023-01-08
apple music is a rip off no music subscription needs to be that much a month and get no access to the music you have purchased and own no wonder people illegally download 11 a month is a crazy price to pay,negativo,negativo,4,"password, service, crashes, account, user, time, customer, problem, correct, shuffle","Boston, United States",male,2024-02-11
