review,sentiment,Polaridad_Clustering,Topic_ID,Palabras_Clave,location,gender,date
it doesn't let me go in my account,negativo,negativo,3,"playback, disruptive, user, problem, repetitive, account, devices, download, inconsistent, updates","Quito, Ecuador",male,2024-07-20
more than a song you can hear ads. so think,negativo,negativo,0,"issue, skips, smart, greedy, choice, mobile, amount, money, shuffle, advertisement","Philadelphia, United States",male,2023-08-13
i cant chose a song now from my playlist what a stupid.,negativo,negativo,0,"issue, skips, smart, greedy, choice, mobile, amount, money, shuffle, advertisement","Guayaquil, Ecuador",male,2024-05-15
just don't download it is not spotify anymore it is addify,negativo,negativo,3,"playback, disruptive, user, problem, repetitive, account, devices, download, inconsistent, updates","Auckland, New Zealand",male,2025-05-14
why can't I remove songs from my queue any more?! I need this feature back.,negativo,negativo,4,"limited, features, podcasts, reliable, podcast, feature, uninterrupted, stop, platforms, annoying","Denver, United States",male,2024-04-17
Why would I pay money for an app that censors art and music? Plus at over $120 a year I can easily buy all the msuic I listen to cheaper.,negativo,negativo,6,"money, button, create, update, personalized, specific, useless, keeps, phone, bottom","Brisbane, Australia",female,2025-11-01
match the audio quality or make it better than apple music please,negativo,negativo,4,"limited, features, podcasts, reliable, podcast, feature, uninterrupted, stop, platforms, annoying","Nadi, Fiji",male,2025-05-11
"I hate the new UI with the create button at the bottom. It is absolutely useless and inconvenient to me. It should be able to be hidden. Also, anything I play from the search tab is stuck on a loop, with the loop button constantly resetting itself.",negativo,negativo,6,"money, button, create, update, personalized, specific, useless, keeps, phone, bottom","Suva, Fiji",male,2025-06-14
I have tried too many times but I'm not unable to sign up Spotify app . please make it work. disappointing many times. please do check up once.,negativo,negativo,0,"issue, skips, smart, greedy, choice, mobile, amount, money, shuffle, advertisement","Tripoli, Libya",male,2023-01-02
i hate it when you need to pay to get to listen to more music,negativo,negativo,0,"issue, skips, smart, greedy, choice, mobile, amount, money, shuffle, advertisement","Phoenix, United States",male,2023-08-02
"I have had Spotify Premium for several years, without any issues. I recently switched to Duo and the service has never worked correctly, when trying to listen on Amazon Echo devices. I was FINALLY able to find the ""contact us"" option and after 30 (pre scripted) emails, the issue still exists. I asked for a refund for the 2 months of having Duo & was told ""as a courtesy"", they could refund 1 MONTH!!! Are you kidding me! Much better streaming options available.....I do NOT recommend Spotify.",negativo,negativo,1,"option, offline, advertising, plan, selection, button, limit, band, create, install","Lima, Peru",male,2024-05-28
I like this app. But I regret this app for premiums and ads.,negativo,negativo,6,"money, button, create, update, personalized, specific, useless, keeps, phone, bottom","Brasília, Brazil",male,2024-09-15
I don't have any problem while using sp for free but it always show me ads and tell 30 minute of uninterrupted listening but then after one song I always get that irritated me more,negativo,negativo,5,"recommendations, shuffle, worse, player, particular, issues, random, update, problems, least","Christchurch, New Zealand",female,2025-12-09
"just 3 songs per day, wow... i thought of not giving that one star also...",negativo,negativo,0,"issue, skips, smart, greedy, choice, mobile, amount, money, shuffle, advertisement","Brasília, Brazil",male,2024-09-11
"Getting worst Day by day Too many ads, can't play a specific part of the song, can't play previous songs(the option has been disabled for non premium users), can't shuffle play the playlist, can't listen songs on loop, can't see lyrics for most songs(everything has been shifted to premium). Does anyone has a better alternative for this.",negativo,negativo,6,"money, button, create, update, personalized, specific, useless, keeps, phone, bottom","Rabat, Morocco",male,2023-05-15
I can't see lyrics as I did without premium...,negativo,negativo,6,"money, button, create, update, personalized, specific, useless, keeps, phone, bottom","Boston, United States",male,2023-10-18
if you don't have subscription of this app then this app is like hell.,negativo,negativo,2,"time, crashes, users, cannot, hell, unusable, rating, click, nahi, forces","Fortaleza, Brazil",male,2024-06-12
"Edit: the new ""Create"" shortcut is 100% useless in functionality, and worse than that, messing with muscle memory for where I press to listen to what I want. Previous complaint worthy of a 1 star review: Adding podcasts to My Episodes adds them to the beginning instead of the end, and then editing the order is impossible, rendering the Playlist useless as a ""to do"" Playlist. Instead I have to manage my own Playlist and go through extra steps to add new podcast episodes to the list.",negativo,negativo,4,"limited, features, podcasts, reliable, podcast, feature, uninterrupted, stop, platforms, annoying","Bogotá, Colombia",male,2024-06-01
"Doesn't play the song you specifically search and select, despite it having the correct name, band, etc. You had one job and couldn't even do that.",negativo,negativo,1,"option, offline, advertising, plan, selection, button, limit, band, create, install","Ottawa, Canada",male,2024-04-05
